"Municipalities","Year","Abor_pr_capita","Income_pr_capita","Abor_pr_capita15_19","Abor_pr_capita20_24","Abor_pr_capita25_29","Abor_pr_capita30_34","Abor_pr_capita35_39","Abor_pr_capita40_44","Abor_pr_capita45_49"
"Albertslund","1995",0.466160808465753,112856,19,29,40,26,16,6,1
"Albertslund","1996",0.564933063991509,116396,29,44,30,38,17,7,0
"Albertslund","1997",0.49249371645948,120198,20,37,22,43,17,5,1
"Albertslund","1998",0.499812995137874,125918,25,34,27,38,19,1,0
"Albertslund","1999",0.457103871738018,130219,11,38,29,27,22,7,0
"Albertslund","2000",0.3579830213767,133963,18,22,23,25,13,1,1
"Albertslund","2001",0.404095750145543,139040,15,30,30,22,18,1,1
"Albertslund","2002",0.408513559903879,143416,23,33,21,15,22,5,0
"Albertslund","2003",0.506258885536947,146751,15,37,34,29,25,6,0
"Albertslund","2004",0.45617236297284,153294,35,34,25,20,14,1,0
"Albertslund","2005",0.419242521139771,156611,21,31,27,15,12,10,1
"Albertslund","2006",0.445194413528166,161196,23,33,20,22,18,8,0
"Albertslund","2007",0.52883222254419,164943,26,47,30,21,16,6,0
"Albertslund","2008",0.514455474240997,169042,24,43,22,28,15,10,0
"Albertslund","2009",0.443947159460045,172800,22,34,32,19,15,1,0
"Albertslund","2010",0.360620266858998,183831,17,18,22,31,8,1,0
"Albertslund","2011",0.449640287769784,182828,21,46,14,28,10,5,1
"Albertslund","2012",0.384008039046799,186626,15,23,27,22,15,5,0
"Albertslund","2013",0.380966072455434,188093,16,26,16,18,18,12,0
"Albertslund","2014",0.339007501442585,192715,10,26,34,17,6,1,0
"Albertslund","2015",0.424368841257283,196771,17,28,20,29,15,9,0
"Albertslund","2016",0.3012912482066,199705,15,24,18,12,8,7,0
"Albertslund","2017",0.229423573272154,202561,9,18,13,7,12,1,1
"Albertslund","2018",0.230688822405652,208399,9,15,14,10,13,1,0
"Allerød","1995",0.315876213147775,138881,12,6,10,24,15,1,1
"Allerød","1996",0.297847375784106,144199,11,13,7,14,13,8,0
"Allerød","1997",0.28988092583508,153380,11,10,12,13,11,7,1
"Allerød","1998",0.291249282908963,161577,9,9,10,16,15,7,0
"Allerød","1999",0.226965213216359,166095,1,7,6,14,16,6,0
"Allerød","2000",0.244083162620407,173626,10,9,1,16,14,5,0
"Allerød","2001",0.229645998526799,180425,6,8,9,11,13,5,1
"Allerød","2002",0.22973558734287,184412,5,1,1,11,23,6,0
"Allerød","2003",0.196799863095747,195483,5,1,6,10,15,6,0
"Allerød","2004",0.209178228388474,206902,14,1,8,9,6,9,0
"Allerød","2005",0.247250404979112,217789,7,8,1,20,13,1,1
"Allerød","2006",0.174482934717848,223367,5,5,1,7,15,6,0
"Allerød","2007",0.220254987504765,228249,10,7,1,10,19,1,1
"Allerød","2008",0.183033243945005,222414,10,8,1,11,5,5,1
"Allerød","2009",0.193106922463373,224741,10,1,5,9,13,6,1
"Allerød","2010",0.186807256424094,251802,12,1,7,9,8,6,0
"Allerød","2011",0.228253652058433,261760,11,8,8,14,7,7,0
"Allerød","2012",0.22459759597388,266595,10,13,1,7,16,1,0
"Allerød","2013",0.22016366884061,273294,6,15,5,5,13,8,1
"Allerød","2014",0.140641158221303,280848,1,1,5,1,6,11,1
"Allerød","2015",0.14747449920118,288485,7,8,1,7,6,1,1
"Allerød","2016",0.117256994986253,293063,1,9,1,7,1,1,1
"Allerød","2017",0.112260444230615,300931,5,1,1,6,8,1,0
"Allerød","2018",0.186249256984347,306103,7,1,9,10,8,9,0
"Assens","1995",0.219970341077607,107059,15,18,15,14,21,6,0
"Assens","1996",0.221691257974727,110849,14,13,18,26,10,8,1
"Assens","1997",0.191481526942433,115546,15,9,17,14,16,7,0
"Assens","1998",0.179347959609857,120668,6,15,13,15,15,8,1
"Assens","1999",0.21824423737126,123645,15,13,14,24,18,1,1
"Assens","2000",0.159044752746581,129465,16,8,10,10,15,5,1
"Assens","2001",0.146145414687614,133216,13,12,11,9,10,5,0
"Assens","2002",0.164944452529957,137629,10,13,12,17,12,1,0
"Assens","2003",0.162854573296711,142009,15,10,9,14,15,1,1
"Assens","2004",0.177576686370381,150020,12,18,11,12,13,6,1
"Assens","2005",0.131064779981068,153647,1,10,12,14,9,5,1
"Assens","2006",0.20546786240905,160910,22,9,14,18,14,6,1
"Assens","2007",0.181748612971112,164289,21,13,9,14,14,1,1
"Assens","2008",0.192609502068769,161082,22,12,12,12,16,7,0
"Assens","2009",0.199392328142803,168406,20,13,14,18,13,6,0
"Assens","2010",0.1902316069815,181933,22,17,6,11,15,8,1
"Assens","2011",0.156118650174132,184591,18,11,10,13,8,5,0
"Assens","2012",0.195449171150737,189157,13,14,10,18,18,7,1
"Assens","2013",0.186327888687235,192580,16,17,13,15,9,7,0
"Assens","2014",0.182761897799547,194750,12,18,10,16,13,6,0
"Assens","2015",0.207084734200653,199676,13,23,24,10,11,1,0
"Assens","2016",0.213467882786726,202808,17,20,14,12,17,7,1
"Assens","2017",0.181203189176129,208781,8,20,21,8,14,1,1
"Assens","2018",0.183894696089818,212415,11,20,13,16,8,8,0
"Ballerup","1995",0.399065173295705,117453,24,36,36,53,21,11,0
"Ballerup","1996",0.366365040829839,121686,27,38,36,40,22,1,0
"Ballerup","1997",0.432564330079858,125963,23,40,44,49,25,14,0
"Ballerup","1998",0.393144270695291,132654,24,39,36,50,19,7,1
"Ballerup","1999",0.355518261714437,136861,27,35,25,38,28,8,0
